Outer pipe diameter;    Inner pipe diameter;    Inner pipe socket tyPE;     Count
[140;                     32;                             PE;                  8]
[140;                     25;                             BOE;                 21]
[140;                     25;                             PE;                  21]
[140;                     20;                             BOE;                 25]
[140;                     20;                             PE;                  25]
[125;                     110;                            BOE;                 1]
[125;                     110;                            ZOE;                 0]
[125;                     110;                            PE;                  1]
[125;                     90;                             BOE;                 1]
[125;                     90;                             ZOE;                 1]
[125;                     90;                             PE;                  1]
[125;                     75;                             BOE;                 1]
[125;                     75;                             ZOE;                 1]
[125;                     75;                             PE;                  1]
[125;                     63;                             BOE;                 1]
[125;                     63;                             ZOE;                 1]
[125;                     63;                             PE;                  1]
[125;                     50;                             BOE;                 1]
[125;                     50;                             ZOE;                 1]
[125;                     50;                             PE;                  1]
[125;                     40;                             BOE;                 4]
[125;                     40;                             PE;                  4]
[125;                     32;                             BOE;                 7]
[125;                     32;                             PE;                  7]
[125;                     25;                             BOE;                 18]
[125;                     25;                             PE;                  18]
[125;                     20;                             BOE;                 21]
[125;                     20;                             PE;                  21]
[110;                     90;                             BOE;                 1]
[110;                     90;                             ZOE;                 0]
[110;                     90;                             PE;                  1]
[110;                     75;                             BOE;                 1]
[110;                     75;                             ZOE;                 1]
[110;                     75;                             PE;                  1]
[110;                     63;                             BOE;                 1]
[110;                     63;                             ZOE;                 1]
[110;                     63;                             PE;                  1]
[110;                     50;                             BOE;                 1]
[110;                     50;                             ZOE;                 1]
[110;                     50;                             PE;                  1]
[110;                     40;                             BOE;                 3]
[110;                     40;                             PE;                  3]
[110;                     32;                             BOE;                 5]
[110;                     32;                             PE;                  5]
[110;                     25;                             BOE;                 13]
[110;                     25;                             PE;                  13]
[110;                     20;                             BOE;                 15]
[110;                     20;                             PE;                  15]
[90;                     75;                              BOE;                 1]
[90;                     75;                              ZOE;                 0]
[90;                     75;                              PE;                  1]
[90;                     63;                              BOE;                 1]
[90;                     63;                              ZOE;                 0]
[90;                     63;                              PE;                  1]
[90;                     50;                              BOE;                 1]
[90;                     50;                              ZOE;                 1]
[90;                     50;                              PE;                  1]
[90;                     40;                              BOE;                 1]
[90;                     40;                              PE;                  1]
[90;                     32;                              BOE;                 3]
[90;                     32;                              PE;                  3]
[90;                     25;                              BOE;                 8]
[90;                     25;                              PE;                  8]
[90;                     20;                              BOE;                 9]
[90;                     20;                              PE;                  9]
[75;                     63;                              BOE;                 1]
[75;                     63;                              ZOE;                 0]
[75;                     63;                              PE;                  1]
[75;                     50;                              BOE;                 1]
[75;                     50;                              ZOE;                 1]
[75;                     50;                              PE;                  1]
[75;                     40;                              BOE;                 1]
[75;                     40;                              PE;                  1]
[75;                     32;                              BOE;                 1]
[75;                     32;                              PE;                  1]
[75;                     25;                              BOE;                 5]
[75;                     25;                              PE;                  5]
[75;                     20;                              BOE;                 6]
[75;                     20;                              PE;                  6]
[63;                     50;                              BOE;                 1]
[63;                     50;                              ZOE;                 0]
[63;                     50;                              PE;                  1]
[63;                     40;                              BOE;                 1]
[63;                     40;                              PE;                  1]
[63;                     32;                              BOE;                 1]
[63;                     32;                              PE;                  1]
[63;                     25;                              BOE;                 4]
[63;                     25;                              PE;                  4]
[63;                     20;                              BOE;                 3]
[63;                     20;                              PE;                  3]
[50;                     40;                              BOE;                 1]
[50;                     40;                              PE;                  1]
[50;                     32;                              BOE;                 1]
[50;                     32;                              PE;                  1]
[50;                     25;                              BOE;                 2]
[50;                     25;                              PE;                  2]
[50;                     20;                              BOE;                 2]
[50;                     20;                              PE;                  2]
[40;                     32;                              BOE;                 1]
[40;                     32;                              PE;                  1]
[40;                     25;                              BOE;                 1]
[40;                     25;                              PE;                  1]
[40;                     20;                              BOE;                 1]
[40;                     20;                              PE;                  1]
[32;                     25;                              BOE;                 1]
[32;                     25;                              PE;                  1]
[32;                     20;                              BOE;                 1]
[32;                     20;                              PE;                  1]
[25;                     20;                              BOE;                 1]
[25;                     20;                              PE;                  1]
]
